P30443
P01892
P04439
P13746
P30447
P05534
P18462
P30450
P30512
P16188
P16189
P10314
P16190
P30453
P30455
P30456
P30457
P01891
P10316
P30459
Q09160
P01889
P30460
P30461
P30462
P30464
P03989
P30466
P30685
P18463
Q95365
P30475
Q04826
P30479
P30480
P30481
P30484
P30485
P30486
P30483
P30487
P18464
P30488
P30490
P30491
P30492
P30493
P30495
P18465
P10319
Q29940
Q29836
Q31612
P30498
Q31610
Q29718
P30499
P30501
P04222
P30504
Q9TNN7
Q29963
P10321
P30505
P30508
P30510
Q07000
Q29960
Q95604
Q29865
P04229
P01912
P13760
P13761
Q30134
Q9TQE0
Q30167
P20039
Q95IE3
Q5Y7A7
Q9GIY3
P01911
Q29974
P11171
P08195
P08908
P28222
P28221
P28566
P30939
P28223
P41595
P28335
P46098
O95264
A5X5Y0
Q70Z44
P47898
Q13639
P34969
P21589
P02763
P19652
P01009
P04217
P20848
P08697
P02750
P01023
A8K2U0
Q9NPC4
Q9UNA3
P05067
P30542
P29274
P0DMS8
P29275
P22760
Q15758
P01011
O95477
Q9BZC7
P78363
Q8WWZ7
Q8N139
Q8IZY2
O94911
Q8IUA7
Q86UK0
Q2M3G0
O95342
Q09428
O60706
Q96J66
P33897
Q9UBJ2
P28288
Q9UNQ0
Q9H172
Q9H222
Q9H221
Q8N2K0
Q96SE0
Q7L211
Q9BUJ0
O00400
Q9BYF1
Q5QJU3
P22303
Q9NUN7
P12821
Q9GZZ6
Q15822
P32297
P43681
P30532
Q15825
P36544
Q9UGM1
P02708
P17787
Q05901
P30926
Q07001
P11230
P07510
Q04844
Q16570
O00590
P25106
Q9NPB9
P11229
P08172
P20309
P08173
P08912
P10323
P33121
Q01718
P36896
P37023
Q04771
O14672
O43184
O75078
Q13444
Q9Y3Q7
P78536
Q9H013
P35348
P35368
P25100
O43506
Q9UKJ8
Q9P0K1
O75077
Q9UKF5
Q9UKQ2
P08913
P18825
Q9UKF2
Q9BZ11
Q8TC27
Q99965
Q9H2U9
P78325
Q13443
Q5VUY2
Q08828
Q08462
O60266
Q8NFM4
P51828
O43306
O95622
O60503
P40145
O15204
Q5T7M4
Q15848
P08588
P07550
P13945
Q8IUX7
Q6UXC1
P43652
P06280
P52594
Q86SQ6
Q8IWK6
O60241
O60242
Q7Z7M1
Q14246
Q6QNK2
Q9UHX3
Q9BY15
Q5T601
Q8IZF7
Q86SQ3
Q8IZF5
Q8IZF3
Q8IZF2
Q8IZP9
Q86Y34
Q8IZF4
Q8IZF6
Q96K78
O00468
O94910
O95490
Q9HBW9
P30556
P50052
Q16352
P31749
Q9Y243
P31751
P02768
Q2TAA5
Q9Y673
Q9H6U8
Q9UM73
P35858
Q9NP70
P02760
P19021
Q86SJ2
Q86WK7
Q86WK6
Q16671
Q9BXJ7
Q07075
P15144
Q6Q4G3
P30533
Q6UX39
P04745
P04746
P54802
P16860
Q9UKU9
Q9BY76
O95841
Q9Y5C1
O43827
Q15389
Q86XS5
Q9Y264
Q8NI99
O15123
P01019
Q9NQ90
Q5XXA6
Q9BYT9
Q32M45
Q6IWH7
A1A5B4
Q75V66
Q4KMQ2
P16066
P20594
P17342
P01008
Q9H6X2
P58335
P28039
P19801
Q16853
O75106
O60641
Q63HQ0
Q8J025
Q8NCL9
P35414
Q06481
P51693
Q9HDC9
P02647
P02652
P04114
P08519
P02655
P02656
P05090
P55056
P02649
Q13790
P02749
O14791
O95445
Q53RT3
Q8NBQ7
Q92482
P41181
P29972
P55064
P55087
O94778
Q6UW56
P15514
P15289
P15848
P51689
P51690
P54793
Q5FYB1
Q6UWY0
Q5FYB0
Q96EG1
Q5T4W7
Q13510
Q9NR71
P07307
P07306
P78348
Q16515
Q9UHC3
Q96FT7
Q9NY37
P42127
Q92484
Q92485
P17405
P20933
Q6ICH7
Q12797
Q9BXN1
P26436
O14525
O75129
Q9HD20
Q4VNC0
P05026
P54709
P14415
Q99941
P18850
Q7Z3C6
Q8N6G6
Q86TH1
P82987
Q6UY14
Q6ZMM2
P51164
Q04656
P25705
P06576
Q5VV63
O75882
P58397
Q9H324
Q76LX8
Q8WXS8
Q8TE58
Q8TE57
Q8TE56
Q8TE59
Q8TE60
Q9UHI8
P59510
O95450
O15072
O75173
Q9UNA0
Q9UKP4
Q9UKP5
Q9UP79
Q9P2N4
P27037
Q13705
P61769
P04920
Q96Q91
P02730
Q9P2W7
Q9NPZ5
O75752
Q6Y288
Q9Y2A9
Q6ZMB0
Q8NFL0
Q8NCR0
Q9BYG0
Q7Z7M8
O94766
Q9C0J1
Q9Y5Z6
O96024
O43825
Q9Y2C3
Q96L58
Q9NY97
O43505
Q00973
P15291
Q76KP1
O60512
O60513
O60909
Q9UBX8
O43286
Q9UBV7
P56817
Q9Y5Z0
O14514
Q13145
P35613
P50895
Q02338
P23560
Q9NZS9
P16278
P16442
P08236
P46663
P30411
O95972
P13497
O95393
P12645
P12643
P22003
P34820
P22004
Q8N8U9
Q7Z5Y6
P36894
P18075
Q13873
P12644
Q9BWV1
Q9NP55
Q96DR5
Q9BQP9
Q8TDL5
Q8N4F0
P59826
P59827
Q8NFQ6
Q8NFQ5
P17213
Q6PL45
Q9C0B6
Q76B58
O60477
P32247
Q96G97
Q9UPA5
Q075Z2
Q9GZN4
Q10588
Q10589
Q13410
Q7KYR7
Q8WVV5
Q96KV6
O00481
P78410
O00478
A6NE02
P35070
P43251
Q7Z6A9
Q9UIR0
Q6UX41
A8MVZ5
Q6UXG8
O95971
Q86VB7
Q6UWJ8
Q9NR16
P0DN25
P02745
P02746
P02747
Q9NPY3
Q9BXJ4
Q9BXI9
Q9NZP8
P00736
Q9BXJ1
P09871
P0C862
Q16581
P20851
P04003
P21730
Q9P296
Q8TCZ2
Q5SY80
Q5TEV5
Q96HA4
Q8IVY1
P54289
F2Z333
Q9NY47
Q8IZS8
Q7Z3S7
Q9BRK5
O00555
Q00975
Q13936
Q01668
Q15878
O60840
O43497
O95180
Q9P0X4
Q13698
P55287
Q9Y6N8
P55289
P55290
O75309
Q12864
P55291
Q13634
Q9H159
Q9HBT6
Q9UJ99
Q9H251
Q8IXH8
Q86UP0
P12830
P19022
P22223
P55283
P33151
P55285
Q9ULB5
P55286
Q9ULB4
Q9BY67
Q8N3J6
Q8N126
Q8NFZ8
O75493
O43570
Q9ULX7
P22748
P23280
Q16790
Q5VU97
Q8IU99
P30988
Q96L12
Q16602
P27797
O43852
Q9NYX4
Q8WVQ1
P20160
Q14444
P07498
P31415
P41180
O14958
P07858
P53634
P07339
P14091
Q9UBX1
P08311
P09668
P43235
P07711
O60911
P43234
P25774
P56202
Q9UBR2
Q8N8R5
P08185
P23435
Q8IUK8
Q6UW01
Q9NTU7
Q9UI42
Q8N4T0
Q96IY4
P16870
O75976
P14384
P15169
Q8IVL8
Q9Y646
Q66K79
F5H4A9
Q96EE4
Q9NV96
Q3MIR4
A0ZSE6
Q6UXH8
Q96A33
Q06432
Q9BQI4
Q9Y698
Q9UBN1
P32238
P51671
Q16627
P22362
O00175
Q9NRJ3
P13500
P80098
P13501
P32246
P41597
P51679
P51681
P51684
P51686
O00421
P32248
Q0P651
Q6YHK3
P08571
P48509
Q13740
Q99467
Q8N6Q3
P06126
P15391
P29016
P29017
P15813
P15812
Q9NNX6
Q15762
P20273
Q9BZW8
Q9HCU0
P25063
Q5ZPR3
P26842
P10747
P06729
Q9NPF0
P20138
Q8IX05
P28906
P11049
P16671
P28907
P04234
P09693
P29965
P16070
Q08722
P01730
P09326
P19397
P13987
P31358
P06127
P08962
P34810
Q07108
P30203
P21854
P40259
P11912
P09564
P33681
P32970
Q01151
P42081
P10966
A6NJW9
P48960
P27701
P21926
P14209
Q9H5V8
Q5VXM1
Q96JP9
Q6ZTQ4
Q9BYE9
Q9HBB8
A6H8M9
Q4KMG0
Q15517
A8MTB9
Q2WEN9
Q6UY09
Q3KPI0
Q7Z692
P13688
P40198
O75871
P40199
Q14002
P06731
P31997
P17676
Q9NZK5
P0C854
P09093
P08861
Q9UNI1
Q9NYQ6
Q9HCU4
Q9NYQ7
P19835
Q8WUJ3
Q9Y6K0
O95813
Q96G23
Q6ZMG9
Q8N5B7
P00450
Q9UKY3
P11597
Q7Z4R8
P00751
P08603
P05156
P0CG37
P0CG36
P13569
Q8N6G5
Q8TDX6
Q6NT52
A6NKQ9
P01233
Q16880
P36222
O95992
Q15782
Q6NUI6
O15335
Q13231
P06276
Q9H9P2
Q9P2E5
Q9H2X0
Q86X52
Q70JA7
O43916
Q9Y4C5
Q8IZ52
Q8NCG5
Q9GZX3
Q9NS84
Q7LGC8
Q9GZS9
Q9H2A9
O43529
Q7L1S5
Q9NRB3
Q9NPF2
Q8NET6
Q7LFX5
Q8NCH0
Q5VTT2
O75339
Q8IUL8
Q5T742
Q6UWK7
Q96F05
Q8TAV5
Q6NUJ2
Q9H741
Q96M19
Q5QGZ9
Q2HXU8
A5D8T8
Q6UXF7
Q6ZS10
Q6UXS0
Q8NCF0
Q9Y240
Q86T13
Q8IUN9
Q9P126
Q6UVW9
Q92478
Q9UHP7
Q8WXI8
Q8WTT0
Q9UMR7
Q9ULY5
Q8NC01
Q6UXB4
Q8N1N0
Q9H2X3
Q9NY25
Q6EIG7
Q9BXN2
Q9UJ71
Q6UXN8
Q9UQC9
Q9Y6N3
Q14CN2
A8K7I4
Q9UBD9
P51801
Q8IZS7
P51790
P51797
Q9NY35
Q8TDQ1
Q496F6
Q08708
Q9UGN4
Q6UXG3
Q13286
O75503
Q9H6B4
Q6UXZ3
Q96KA5
O96005
A0PK11
Q8NCR9
P58418
Q9Y271
Q9NS75
Q15846
P10909
P23946
P10645
Q99788
Q86TY3
Q96KN2
Q16280
P29973
Q9NQW8
Q9H8M5
Q6P4Q7
Q8NE01
Q9BT09
P21554
P34972
Q96NU0
P26992
Q12860
Q02246
Q9P232
Q8IWV2
O94779
Q9UQ52
P78357
Q9UHC6
Q9C0A0
Q8WYK1
Q2M3C6
Q9BZ76
P02452
P08123
P02458
P06681
P02461
P01024
P02462
P08572
Q01955
P53420
P29400
Q14031
P0C0L4
P0C0L5
P05997
P25940
P01031
P12109
P12110
A8TX70
A6NMZ7
P12111
P13671
Q02388
P10643
P07357
P20849
P07358
Q14055
Q14050
P02748
P12107
P13942
Q99715
O43405
Q05707
P39059
Q07092
Q9UMD9
P39060
Q9P218
Q9Y6Z7
Q5KU26
Q96P44
P01189
Q8NFW1
P49747
Q17RW2
